rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.45,1,6,14,4,62.445516,None,62.445516,None,62.445516,None,left,0.9965685000000235,62.51625039999999,None,62.445516,None,63.53761989999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,1,7,15,5,63.75382189999999,None,63.75382189999999,None,63.75382189999999,None,left,0.9424943999999869,63.82446920000001,None,63.75382189999999,None,64.79078149999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,2,0,16,5,65.00226090000001,None,65.00226090000001,None,65.00226090000001,None,left,1.2830208000000312,65.07621789999996,None,65.00226090000001,None,66.383171,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,2,1,17,3,66.58665209999998,None,66.58665209999998,None,66.58665209999998,None,left,1.0758534000000282,66.65676300000001,None,66.58665209999998,None,67.75522849999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,2,2,18,6,67.96122020000001,None,67.96122020000001,None,67.96122020000001,None,right,1.3496132000000216,68.03103749999997,None,67.96122020000001,None,69.40456269999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,2,3,19,4,69.60773839999996,None,69.60773839999996,None,69.60773839999996,None,left,1.464010500000029,69.67726069999998,None,69.60773839999996,None,71.16454419999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,2,4,20,0,71.36758119999996,None,71.36758119999996,None,71.36758119999996,None,left,1.1187214000000267,71.4367502,None,71.36758119999996,None,72.57882000000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,2,5,21,7,72.7885713,None,72.7885713,None,72.7885713,None,right,0.7019808000000012,72.86336769999997,None,72.7885713,None,73.58927080000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,2,6,22,1,73.80248739999996,None,73.80248739999996,None,73.80248739999996,None,left,0.8393811999999912,73.87211300000001,None,73.80248739999996,None,74.73606919999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,2,7,23,2,74.94859589999999,None,74.94859589999999,None,74.94859589999999,None,left,0.7446607999999628,75.01695819999998,None,74.94859589999999,None,75.78519080000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
