rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.6,0,0,0,7,19.512044999999944,None,19.512044999999944,None,19.512044999999944,None,left,10.914397700000109,19.580655500000034,None,19.512044999999944,None,30.519317499999943,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.4,0,1,1,3,30.724193799999966,None,30.724193799999966,None,30.724193799999966,None,left,1.0629346000000623,30.794523700000013,None,30.724193799999966,None,31.881783499999983,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.5,0,2,2,5,32.08905279999999,None,32.08905279999999,None,32.08905279999999,None,left,1.2250020999999833,32.16050180000002,None,32.08905279999999,None,33.40904009999997,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.25,0,3,3,0,33.619881299999975,None,33.619881299999975,None,33.619881299999975,None,left,0.9255017000000407,33.690036299999974,None,33.619881299999975,None,34.63994530000002,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.3,0,4,4,1,34.84151850000001,None,34.84151850000001,None,34.84151850000001,None,left,1.3287518999999293,34.91417260000003,None,34.84151850000001,None,36.26748799999996,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.55,0,5,5,6,36.46916639999995,None,36.46916639999995,None,36.46916639999995,None,left,1.3134261999999808,36.538455099999965,None,36.46916639999995,None,37.87443519999999,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.45,0,6,6,4,38.07766700000002,None,38.07766700000002,None,38.07766700000002,None,left,3.960830900000019,38.148087799999985,None,38.07766700000002,None,42.13302399999998,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.35,0,7,7,2,42.34458410000002,None,42.34458410000002,None,42.34458410000002,None,left,2.360512000000085,42.41582029999995,None,42.34458410000002,None,44.80084139999997,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.6,1,0,8,7,45.00913049999997,None,45.00913049999997,None,45.00913049999997,None,left,4.4168229000000565,45.0808078,None,45.00913049999997,None,49.52216299999998,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.45,1,1,9,4,49.73424399999999,None,49.73424399999999,None,49.73424399999999,None,right,1.9493016999999782,49.8098933,None,49.73424399999999,None,51.78188090000003,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.25,1,2,10,0,51.98895809999999,None,51.98895809999999,None,51.98895809999999,None,left,0.9785289000000148,52.05920660000004,None,51.98895809999999,None,53.061412599999926,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.5,1,3,11,5,53.271260499999926,None,53.271260499999926,None,53.271260499999926,None,right,0.6479152000000568,53.338684899999976,None,53.271260499999926,None,54.011399600000004,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.3,1,4,12,1,54.21626889999993,None,54.21626889999993,None,54.21626889999993,None,left,1.1119188000000122,54.28425519999996,None,54.21626889999993,None,55.4207457,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.4,1,5,13,3,55.63034449999998,None,55.63034449999998,None,55.63034449999998,None,right,0.44155369999998584,55.70114960000001,None,55.63034449999998,None,56.16622210000003,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.35,1,6,14,2,56.370834100000025,None,56.370834100000025,None,56.370834100000025,None,left,0.9416770999999926,56.44007639999995,None,56.370834100000025,None,57.406883499999935,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.55,1,7,15,6,57.61827870000002,None,57.61827870000002,None,57.61827870000002,None,right,0.7125862000000325,57.69292410000003,None,57.61827870000002,None,58.42973729999994,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.6,2,0,16,7,58.640159400000016,None,58.640159400000016,None,58.640159400000016,None,right,1.1696173000000272,58.7108025,None,58.640159400000016,None,59.904285999999956,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.35,2,1,17,2,60.10581000000002,None,60.10581000000002,None,60.10581000000002,None,left,1.5198358999999755,60.175337799999966,None,60.10581000000002,None,61.71934379999993,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.3,2,2,18,1,61.920973499999945,None,61.920973499999945,None,61.920973499999945,None,left,0.9722527999999784,61.99181210000006,None,61.920973499999945,None,62.98890860000006,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.25,2,3,19,0,63.19380870000009,None,63.19380870000009,None,63.19380870000009,None,left,0.7314642000001186,63.2623865999999,None,63.19380870000009,None,64.01737539999999,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.4,2,4,20,3,64.22037849999992,None,64.22037849999992,None,64.22037849999992,None,right,0.9541615000000547,64.29144240000005,None,64.22037849999992,None,65.27046730000006,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.55,2,5,21,6,65.4790183,None,65.4790183,None,65.4790183,None,right,0.7680932000000666,65.54906490000008,None,65.4790183,None,66.34182039999996,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.5,2,6,22,5,66.54528609999988,None,66.54528609999988,None,66.54528609999988,None,right,0.7223042000000532,66.61357309999994,None,66.54528609999988,None,67.35991420000005,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.45,2,7,23,4,67.56910949999997,None,67.56910949999997,None,67.56910949999997,None,left,1.7801721999999245,67.64169169999991,None,67.56910949999997,None,69.44977689999996,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.3,3,0,24,1,69.66198740000004,None,69.66198740000004,None,69.66198740000004,None,left,1.2831734999999753,69.73249450000003,None,69.66198740000004,None,71.03956229999994,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.6,3,1,25,7,71.24443640000004,None,71.24443640000004,None,71.24443640000004,None,right,0.6014903000000231,71.31705229999989,None,71.24443640000004,None,71.94313680000005,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.5,3,2,26,5,72.14884209999991,None,72.14884209999991,None,72.14884209999991,None,right,0.8071360999999797,72.21737189999999,None,72.14884209999991,None,73.04822889999991,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.4,3,3,27,3,73.25258280000003,None,73.25258280000003,None,73.25258280000003,None,left,1.0475045000000591,73.32420359999992,None,73.25258280000003,None,74.39583850000008,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.25,3,4,28,0,74.60291800000005,None,74.60291800000005,None,74.60291800000005,None,left,0.7652963999998974,74.67206319999991,None,74.60291800000005,None,75.46583179999993,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.35,3,5,29,2,75.67358730000001,None,75.67358730000001,None,75.67358730000001,None,right,0.8828373999999712,75.74311740000007,None,75.67358730000001,None,76.64904520000005,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.55,3,6,30,6,76.85442629999989,None,76.85442629999989,None,76.85442629999989,None,right,0.9382109999999102,76.92480810000006,None,76.85442629999989,None,77.88643750000006,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.45,3,7,31,4,78.0906367,None,78.0906367,None,78.0906367,None,left,1.3450580999999602,78.16082239999992,None,78.0906367,None,79.52868319999993,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.4,4,0,32,3,79.73579240000004,None,79.73579240000004,None,79.73579240000004,None,right,0.6787664999999379,79.80497160000004,None,79.73579240000004,None,80.50779289999991,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.45,4,1,33,4,80.72194740000009,None,80.72194740000009,None,80.72194740000009,None,right,0.9498326000000361,80.79135479999991,None,80.72194740000009,None,81.7651820000001,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.25,4,2,34,0,81.96892950000006,None,81.96892950000006,None,81.96892950000006,None,left,2.630883600000061,82.03846959999987,None,81.96892950000006,None,84.6943174999999,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.5,4,3,35,5,84.90361289999987,None,84.90361289999987,None,84.90361289999987,None,right,0.42765970000004927,84.97509080000009,None,84.90361289999987,None,85.42786690000003,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.35,4,4,36,2,85.63613379999993,None,85.63613379999993,None,85.63613379999993,None,right,1.0238560000000234,85.7081776,None,85.63613379999993,None,86.7552662999999,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.3,4,5,37,1,86.96545560000004,None,86.96545560000004,None,86.96545560000004,None,right,1.580572200000006,87.03455250000002,None,86.96545560000004,None,88.64011069999992,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.55,4,6,38,6,88.84519529999989,None,88.84519529999989,None,88.84519529999989,None,right,0.6032950000001165,88.91623099999993,None,88.84519529999989,None,89.5437571,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.6,4,7,39,7,89.74765449999995,None,89.74765449999995,None,89.74765449999995,None,right,0.645278400000052,89.81824299999994,None,89.74765449999995,None,90.4877626,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.55,5,0,40,6,90.69749559999991,None,90.69749559999991,None,90.69749559999991,None,right,0.567545900000141,90.76747849999992,None,90.69749559999991,None,91.3581706,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
0.25,5,1,41,0,91.57105230000002,None,91.57105230000002,None,91.57105230000002,None,left,0.6440526000001228,91.64207940000006,None,91.57105230000002,None,92.30900769999994,None,002,012,2021_Jan_22_1142,contrast,2020.2.10,44.63289444322055,
