rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.6,0,0,0,7,51.645762000000104,None,51.645762000000104,None,51.645762000000104,None,right,19.652093099997728,51.745498000000225,None,51.645762000000104,None,71.42503869999928,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.35,0,1,1,2,71.9455792000008,None,71.9455792000008,None,71.9455792000008,None,left,5.9276735999992525,72.02615829999922,None,71.9455792000008,None,77.98534990000189,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.45,0,2,2,4,78.50427510000009,None,78.50427510000009,None,78.50427510000009,None,right,1.5574753000000783,78.58437290000074,None,78.50427510000009,None,80.16786870000215,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.25,0,3,3,0,80.68049930000052,None,80.68049930000052,None,80.68049930000052,None,left,1.5217197999991185,80.76262570000108,None,80.68049930000052,None,82.30866930000047,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.5,0,4,4,5,82.8148543999996,None,82.8148543999996,None,82.8148543999996,None,right,1.6396233000014035,82.88965269999971,None,82.8148543999996,None,84.5555686000007,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.3,0,5,5,1,85.07718250000107,None,85.07718250000107,None,85.07718250000107,None,left,2.713001299998723,85.15763800000059,None,85.07718250000107,None,87.8957599000023,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.4,0,6,6,3,88.42208080000273,None,88.42208080000273,None,88.42208080000273,None,right,1.8974215999987791,88.49716620000254,None,88.42208080000273,None,90.41988920000222,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.55,0,7,7,6,90.94750449999992,None,90.94750449999992,None,90.94750449999992,None,right,3.038052299998526,91.03545040000245,None,90.94750449999992,None,94.1029746000022,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.6,1,0,8,7,94.60467110000172,None,94.60467110000172,None,94.60467110000172,None,right,1.2055416000002879,94.68048479999925,None,94.60467110000172,None,95.91299690000233,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.4,1,1,9,3,96.41819989999931,None,96.41819989999931,None,96.41819989999931,None,right,0.5170972999985679,96.49682200000098,None,96.41819989999931,None,97.04227209999954,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.35,1,2,10,2,97.54436250000072,None,97.54436250000072,None,97.54436250000072,None,right,1.9713446000023396,97.62158339999951,None,97.54436250000072,None,99.62086710000222,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.5,1,3,11,5,100.1329833000018,None,100.1329833000018,None,100.1329833000018,None,right,4.680185999997775,100.20905940000011,None,100.1329833000018,None,104.91689980000228,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.3,1,4,12,1,105.42015510000056,None,105.42015510000056,None,105.42015510000056,None,right,1.45792519999668,105.50153359999968,None,105.42015510000056,None,106.98544590000165,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.25,1,5,13,0,107.51209110000127,None,107.51209110000127,None,107.51209110000127,None,left,1.494765899999038,107.58794280000075,None,107.51209110000127,None,109.11099029999968,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.55,1,6,14,6,109.61727980000069,None,109.61727980000069,None,109.61727980000069,None,right,1.2080320000022766,109.69157730000006,None,109.61727980000069,None,110.92515970000022,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.45,1,7,15,4,111.42704180000146,None,111.42704180000146,None,111.42704180000146,None,right,1.6461386000009952,111.50445469999977,None,111.42704180000146,None,113.17625670000052,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.35,2,0,16,2,113.68495620000249,None,113.68495620000249,None,113.68495620000249,None,right,1.9387982000007469,113.7674571000025,None,113.68495620000249,None,115.7336286000027,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.45,2,1,17,4,116.25388440000097,None,116.25388440000097,None,116.25388440000097,None,right,2.184725299997808,116.33384289999958,None,116.25388440000097,None,118.54894550000245,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.3,2,2,18,1,119.06778230000054,None,119.06778230000054,None,119.06778230000054,None,right,5.868782000001374,119.15058630000203,None,119.06778230000054,None,125.04517920000217,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
0.25,2,3,19,0,125.55119000000195,None,125.55119000000195,None,125.55119000000195,None,left,3.942958899999212,125.63387370000055,None,125.55119000000195,None,129.60294470000008,None,003,007,2021_Jan_21_2324,contrast,2020.2.10,35.03253997496413,
