rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.45,0,0,0,4,38.63161630000104,None,38.63161630000104,None,38.63161630000104,None,left,58.36645490000228,38.71949599999789,None,38.63161630000104,None,97.11210769999889,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.6,0,1,1,7,97.64467859999786,None,97.64467859999786,None,97.64467859999786,None,right,5.996464100000594,97.72286189999795,None,97.64467859999786,None,103.74596349999774,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.55,0,2,2,6,104.24903110000014,None,104.24903110000014,None,104.24903110000014,None,right,4.072895699999208,104.33041039999807,None,104.24903110000014,None,108.43023790000007,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.5,0,3,3,5,108.93612329999814,None,108.93612329999814,None,108.93612329999814,None,right,4.706738900000346,109.01753520000057,None,108.93612329999814,None,113.75136199999906,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.35,0,4,4,2,114.27322339999955,None,114.27322339999955,None,114.27322339999955,None,left,3.850809699997626,114.35464959999808,None,114.27322339999955,None,118.23335199999929,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.25,0,5,5,0,118.73966110000038,None,118.73966110000038,None,118.73966110000038,None,left,7.03206180000052,118.81603019999966,None,118.73966110000038,None,125.87396240000089,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.3,0,6,6,1,126.39315879999776,None,126.39315879999776,None,126.39315879999776,None,right,6.570028199999797,126.46887380000044,None,126.39315879999776,None,133.0636932999987,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.4,0,7,7,3,133.58173929999975,None,133.58173929999975,None,133.58173929999975,None,left,5.556357699999353,133.6589903999993,None,133.58173929999975,None,139.2399951999978,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.55,1,0,8,6,139.76592700000037,None,139.76592700000037,None,139.76592700000037,None,right,3.7352166999990004,139.8398840000009,None,139.76592700000037,None,143.60191009999835,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.45,1,1,9,4,144.12604339999962,None,144.12604339999962,None,144.12604339999962,None,right,3.014532400000462,144.19996600000013,None,144.12604339999962,None,147.24089959999765,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.35,1,2,10,2,147.74824399999852,None,147.74824399999852,None,147.74824399999852,None,left,4.081838599999173,147.82390619999933,None,147.74824399999852,None,151.93083719999777,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
0.25,1,3,11,0,152.46138789999895,None,152.46138789999895,None,152.46138789999895,None,right,2.4326185999998415,152.53760119999788,None,152.46138789999895,None,154.99830529999963,None,003,006,2021_Jan_21_2303,contrast,2020.2.10,None,
